player_name,ktc_value,ktc_rank,age,fc_value,fc_rank,fc_rank_overall,draft_age,draft_year,pos,rnd,pick,fp_value,rank_diff,value_avg
Charlie Jones,525,418,24.6,596,WR94,294,NA,NA,NA,NA,NA,NA,124,560.5
Zach Pascal,521,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kalif Raymond,499,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Mitchell,495,421,NA,NA,NA,NA,23,2022,TE,5,177,NA,NA,NA
Tylan Wallace,494,422,NA,NA,NA,NA,22,2021,WR,4,131,NA,NA,NA
Ashton Dulin,494,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clayton Tune,490,424,24.2,446,QB48,315,NA,NA,NA,NA,NA,NA,109,468
Lew Nichols,481,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamison Crowder,473,426,NA,NA,NA,NA,22,2015,WR,4,105,2,NA,NA
Myles Gaskin,471,427,NA,NA,NA,NA,22,2019,RB,7,234,NA,NA,NA
Latavius Murray,468,428,33.3,284,RB87,340,23,2013,RB,6,181,2,88,376
Logan Thomas,466,429,NA,NA,NA,NA,23,2014,QB,4,120,2,NA,NA
Erik Ezukanma,465,430,NA,NA,NA,NA,22,2022,WR,4,125,NA,NA,NA
Josh Oliver,457,431,NA,NA,NA,NA,22,2019,TE,3,69,NA,NA,NA
Gary Brightwell,449,432,NA,NA,NA,NA,22,2021,RB,6,196,NA,NA,NA
Sam Ehlinger,445,433,NA,NA,NA,NA,22,2021,QB,6,218,NA,NA,NA
Jalen Reagor,440,434,NA,NA,NA,NA,21,2020,WR,1,21,NA,NA,NA
Cameron Latu,437,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaelon Darden,436,436,NA,NA,NA,NA,22,2021,WR,4,129,NA,NA,NA
Jamal Agnew,429,437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Jones,426,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Collin Johnson,411,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nelson Agholor,406,440,NA,NA,NA,NA,22,2015,WR,1,20,NA,NA,NA
Cooper Rush,401,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Dalton,399,442,35.6,387,QB51,324,23,2011,QB,2,35,NA,118,393
J.J. Taylor,397,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ihmir Smith-Marsette,396,444,NA,NA,NA,NA,22,2021,WR,5,157,NA,NA,NA
KaVontae Turpin,389,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teddy Bridgewater,378,446,NA,NA,NA,NA,21,2014,QB,1,32,NA,NA,NA
Ian Thomas,365,447,NA,NA,NA,NA,22,2018,TE,4,101,NA,NA,NA
