player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name,,,,,
Jahmyr Gibbs,6986,5295,18,RB,20,6140.5,5800.08,17,-297,NA,NA,NA,HorseWomen of Color,Pace,,,,
Jordan Love,7008,5232,17,QB,23,6120,5765.76,18,-34.3199999999997,2020,1,26,The Scene Worships Me,Brian,,,,
Puka Nacua,6955,5256,20,WR,22,6105.5,5764.11,19,-1.64999999999964,NA,NA,NA,NA,Erik G,,,,
Christian McCaffrey,6348,5389,25,RB,19,5868.5,5651.58,20,-112.530000000001,2017,1,8,The Scene Worships Me,James,,,,
A.J. Brown,6414,5258,24,WR,21,5836,5586.9,21,-64.6800000000003,2019,2,51,JoJos Bizzare Massage,Anthony,,,,
Kyler Murray,6472,5122,23,QB,24,5797,5516.28,22,-70.619999999999,2019,1,1,The Serle Brothers,Erik,,,,
Garrett Wilson,6629,5008,21,WR,25,5818.5,5492.85,23,-23.4300000000003,2022,1,10,Pablo and the Stallions,Damar,,,,
Sam LaPorta,6587,4892,22,TE,26,5739.5,5402.43,24,-90.4200000000001,NA,NA,NA,Howling for Chubb,CJ,,,,
Trevor Lawrence,6210,4717,27,QB,27,5463.5,5162.52,25,-239.91,2021,1,1,HorseWomen of Color,,,,,
Malik Nabers,6285,4469,26,WR,29,5377,5023.59,26,-138.93,NA,NA,NA,NA,,,,,
Chris Olave,5925,4319,29,WR,31,5122,4805.79,27,-217.8,2022,1,11,Kissy Boy Jones,,,,,
Tyreek Hill,5609,4454,33,WR,30,5031.5,4790.61,28,-15.1799999999994,2016,5,165,Kissy Boy Jones,,,,,
Drake London,5979,4154,28,WR,36,5066.5,4714.71,29,-75.8999999999996,2022,1,8,A Team of Chance,,,,,
Jonathan Taylor,5564,4299,37,RB,32,4931.5,4673.46,30,-41.2500000000009,2020,2,41,The Millennium Beer,,,,,
Brock Purdy,5658,4223,31,QB,34,4940.5,4654.32,31,-19.1399999999994,2022,7,262,Kissy Boy Jones,,,,,
Dak Prescott,5578,4239,35,QB,33,4908.5,4638.48,32,-15.8400000000001,2016,4,135,DirtyDan113,,,,,
Jayden Daniels,5654,4149,32,QB,37,4901.5,4604.16,33,-34.3200000000006,NA,NA,NA,NA,,,,,
Tua Tagovailoa,5393,4117,43,QB,38,4755,4496.91,34,-107.25,2020,1,5,The Millennium Beer,,,,,
Drake Maye,5476,3964,38,QB,39,4720,4423.32,35,-73.5899999999992,NA,NA,NA,NA,,,,,
Jaylen Waddle,5581,3778,34,WR,42,4679.5,4335.21,36,-88.1100000000006,2021,1,6,DirtyDan113,,,,,
Brandon Aiyuk,5664,3686,30,WR,45,4675,4301.88,37,-33.3299999999999,2020,1,25,Howling for Chubb,,,,,
Travis Etienne,5127,3782,52,RB,41,4454.5,4188.03,38,-113.85,2021,1,25,JoJos Bizzare Massage,,,,,
Rome Odunze,5476,3578,39,WR,50,4527,4168.56,39,-19.4699999999993,NA,NA,NA,NA,,,,,
Michael Pittman,5359,3611,44,WR,49,4485,4151.73,40,-16.8299999999999,2020,2,34,Kissy Boy Jones,,,,,
Kyren Williams,5211,3664,47,RB,47,4437.5,4137.87,41,-13.8599999999997,2022,5,164,NA,,,,,
Nico Collins,5458,3531,40,WR,52,4494.5,4131.6,42,-6.27000000000044,2021,3,89,A Team of Chance,,,,,
