player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name,,,,,
Alexander Mattison,1370,657,254,RB,266,1013.5,885.72,215,-0.990000000000009,2019,3,102,The Serle Brothers,,,,,
Jacoby Brissett,1499,518,236,QB,301,1008.5,836.55,216,-49.1700000000001,2016,3,91,Pablo and the Stallions,,,,,
Rico Dowdle,1741,334,217,RB,319,1037.5,794.97,217,-41.5799999999999,NA,NA,NA,NA,,,,,
Alec Pierce,1758,312,216,WR,321,1035,786.06,218,-8.91000000000008,2022,2,53,Pablo and the Stallions,,,,,
Hunter Henry,1482,408,239,TE,312,945,758.34,219,-27.7199999999999,2016,2,35,DirtyDan113,,,,,
Tyler Boyd,1669,310,223,WR,322,989.5,755.37,220,-2.97000000000003,2016,2,55,Kissy Boy Jones,,,,,
Ezekiel Elliott,1166,547,290,RB,293,856.5,745.8,221,-9.56999999999994,2016,1,4,DirtyDan113,,,,,
Mike Gesicki,1218,501,279,TE,306,859.5,732.6,222,-13.2,2018,2,42,Pablo and the Stallions,,,,,
Hendon Hooker,1363,408,257,QB,313,885.5,719.07,223,-13.53,NA,NA,NA,Howling for Chubb,,,,,
Juwan Johnson,1415,375,250,TE,316,895,714.45,224,-4.62,NA,NA,NA,A Team of Chance,,,,,
Ray Davis,397,884,412,RB,216,640.5,714.45,225,0,NA,NA,NA,NA,,,,,
A.T. Perry,1521,304,234,WR,323,912.5,702.57,226,-11.88,NA,NA,NA,NA,,,,,
Daniel Bellinger,1348,377,261,TE,315,862.5,693.66,227,-8.90999999999997,2022,4,112,NA,,,,,
Elijah Mitchell,1587,251,228,RB,327,919,689.37,228,-4.29000000000008,2021,6,194,DirtyDan113,,,,,
Johnny Wilson,488,796,392,WR,230,642,686.4,229,-2.96999999999991,NA,NA,NA,NA,,,,,
Mac Jones,1074,501,300,QB,307,787.5,685.08,230,-1.32000000000005,2021,1,15,A Team of Chance,,,,,
Dawson Knox,1520,277,235,TE,326,898.5,684.42,231,-0.659999999999968,2019,3,96,Pablo and the Stallions,,,,,
Jake Browning,1296,377,270,QB,314,836.5,676.5,232,-7.92000000000007,NA,NA,NA,NA,,,,,
John Metchie,1440,280,245,WR,325,860,660,233,-16.5,NA,NA,NA,The Scene Worships Me,,,,,
Jermaine Burton,245,827,458,WR,226,536,626.67,234,-33.3299999999999,NA,NA,NA,NA,,,,,
Drew Lock,1312,282,268,QB,324,797,619.08,235,-7.59000000000003,NA,NA,NA,NA,,,,,
Joe Milton,442,712,403,QB,255,577,615.78,236,-3.30000000000007,NA,NA,NA,NA,,,,,
Jarrett Stidham,1187,334,284,QB,320,760.5,612.15,237,-3.62999999999988,2019,4,133,The Millennium Beer,,,,,
Desmond Ridder,1167,338,289,QB,318,752.5,608.19,238,-3.96000000000004,2022,3,74,The Millennium Beer,,,,,
Israel Abanikanda,1422,183,247,RB,331,802.5,590.04,239,-18.15,NA,NA,NA,HorseWomen of Color,,,,,
Jordan Travis,305,722,436,QB,251,513.5,577.17,240,-12.87,NA,NA,NA,NA,,,,,
K.J. Osborn,1426,159,246,WR,334,792.5,575.52,241,-1.64999999999998,2020,5,176,The Scene Worships Me,,,,,
Brevin Jordan,1366,180,255,TE,332,773,569.58,242,-5.94000000000006,2021,5,147,NA,,,,,
Noah Brown,1605,36,227,WR,343,820.5,553.41,243,-16.1700000000001,2017,7,239,NA,,,,,
Kenneth Gainwell,1227,195,274,RB,330,711,533.61,244,-19.8,2021,5,150,The Millennium Beer,,,,,
D'Onta Foreman,1197,208,283,RB,329,702.5,532.29,245,-1.32000000000005,2017,3,89,A Team of Chance,,,,,
Skyy Moore,1315,122,267,WR,338,718.5,514.47,246,-17.8199999999999,2022,2,54,HorseWomen of Color,,,,,
Joe Flacco,680,436,356,QB,311,558,512.16,247,-2.31000000000006,NA,NA,NA,NA,,,,,
Zay Jones,1412,68,251,WR,340,740,510.84,248,-1.31999999999994,2017,2,37,DirtyDan113,,,,,
Cedric Tillman,1254,138,273,WR,336,696,504.9,249,-5.94000000000006,NA,NA,NA,The Serle Brothers,,,,,
Taysom Hill,1062,210,302,TE,328,636,489.06,250,-15.8399999999999,NA,NA,NA,NA,,,,,
Cade Stover,0,730,499,TE,248,365,481.8,251,-7.26000000000005,NA,NA,NA,NA,,,,,
Zach Ertz,723,346,349,TE,317,534.5,466.95,252,-14.85,2013,2,35,Kissy Boy Jones,,,,,
Jelani Woods,1091,150,297,TE,335,620.5,459.03,253,-7.92000000000002,2022,3,73,The Millennium Beer,,,,,
Andrei Iosivas,1349,15,260,WR,346,682,455.07,254,-3.96000000000004,NA,NA,NA,NA,,,,,
Jase McClellan,116,619,489,RB,273,367.5,446.82,255,-8.24999999999994,NA,NA,NA,NA,,,,,
Noah Gray,1218,36,280,TE,344,627,425.7,256,-21.1200000000001,2021,5,162,The Serle Brothers,,,,,
Cam Akers,1018,135,307,RB,337,576.5,425.04,257,-0.659999999999968,2020,2,52,JoJos Bizzare Massage,,,,,
Gerald Everett,1029,101,306,TE,339,565,406.23,258,-18.81,2017,2,44,A Team of Chance,,,,,
Michael Carter,1169,15,286,RB,347,592,395.67,259,-10.56,2021,4,107,Kissy Boy Jones,,,,,
Clyde Edwards-Helaire,1084,23,299,RB,345,553.5,372.9,260,-22.77,2020,1,32,Pablo and the Stallions,,,,,
Joshua Dobbs,788,161,339,QB,333,474.5,366.3,261,-6.60000000000002,2017,4,135,NA,,,,,
Zach Wilson,922,0,315,QB,350,461,304.26,262,-62.04,2021,1,2,JoJos Bizzare Massage,,,,,
Tyler Conklin,758,66,343,TE,341,412,293.7,263,-10.5599999999999,2018,5,157,Howling for Chubb,,,,,
Davis Allen,869,6,325,TE,349,437.5,290.73,264,-2.97000000000003,NA,NA,NA,NA,,,,,
