player_name,normalized_ktc,normalized_fc,normalized_fp,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick
Jimmy Garoppolo,2831,1382,1728,139,QB,134,1980.3333333333333,1830.75,119,-19,2014,2,62
Trey McBride,2894,1320,1728,132,TE,142,1980.6666666666667,1815.5,120,-15.25,2022,2,55
Rondale Moore,2878,1236,1852,133,WR,149,1988.6666666666667,1800.5,121,-15,2021,2,49
Elijah Moore,3071,1351,1358,118,WR,138,1926.6666666666667,1782.75,122,-17.75,2021,2,34
James Conner,2693,1355,1728,149,RB,137,1925.3333333333333,1782.75,123,0,2017,3,105
Ryan Tannehill,2421,1176,2346,160,QB,156,1981,1779.75,124,-3,2012,1,8
Wan'Dale Robinson,2966,1211,1481,123,WR,152,1886,1717.25,125,-62.5,2022,2,43
Alec Pierce,2954,1055,1358,124,WR,170,1789,1605.5,126,-111.75,2022,2,53
Kareem Hunt,2423,1266,1358,159,RB,147,1682.3333333333333,1578.25,127,-27.25,2017,3,86
Desmond Ridder,2816,1495,494,140,QB,127,1601.6666666666667,1575,128,-3.25,2022,3,74
Chase Claypool,2478,1034,1605,155,WR,172,1705.6666666666667,1537.75,129,-37.25,2020,2,49
Donovan Peoples-Jones,2746,1135,1111,145,WR,160,1664,1531.75,130,-6,2020,6,187
Kenneth Gainwell,2837,1268,617,137,RB,146,1574,1497.5,131,-34.25,2021,5,150
Josh Palmer,2699,1130,988,147,WR,163,1605.6666666666667,1486.75,132,-10.75,2021,3,77
Isaiah Likely,2694,1050,1111,148,TE,171,1618.3333333333333,1476.25,133,-10.5,2022,4,139
Dawson Knox,2577,1282,617,153,TE,145,1492,1439.5,134,-36.75,2019,3,96
Mike Gesicki,2251,1074,1358,166,TE,167,1561,1439.25,135,-0.25,2018,2,42
Jamaal Williams,2705,1229,494,146,RB,151,1476,1414.25,136,-25,2017,4,134
Jelani Woods,2045,819,1852,185,TE,205,1572,1383.75,137,-30.5,2022,3,73
Ezekiel Elliott,2458,1193,617,156,RB,154,1422.6666666666667,1365.25,138,-18.5,2016,1,4
Alexander Mattison,2598,1127,494,151,RB,164,1406.3333333333333,1336.5,139,-28.75,2019,3,102
Leonard Fournette,2082,1193,864,179,RB,153,1379.6666666666667,1333,140,-3.5,2017,1,4
Romeo Doubs,2834,1061,370,138,WR,169,1421.6666666666667,1331.5,141,-1.5,2022,4,132
Zay Jones,2350,980,988,164,WR,181,1439.3333333333333,1324.5,142,-7,2017,2,37
Malik Willis,2074,927,1111,181,QB,188,1370.6666666666667,1259.75,143,-64.75,2022,3,86
John Metchie,2761,1130,0,144,WR,162,1297,1255.25,144,-4.5,NA,NA,NA
Kyle Trask,1818,984,NA,205,QB,180,1401,1249.38,145,-5.869999999999891,2021,2,64
Allen Lazard,2196,940,864,171,WR,185,1333.3333333333333,1235,146,-14.38000000000011,NA,NA,NA
Devin Singletary,2212,989,741,168,RB,178,1314,1232.75,147,-2.25,2019,3,74
Elijah Mitchell,2579,988,370,152,RB,179,1312.3333333333333,1231.25,148,-1.5,2021,6,194
