player_name,normalized_ktc,normalized_fc,normalized_fp,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick
Tyler Badie,884,2,NA,309,RB,349,443,293.04,279,-4.2099999999999795,2022,6,196
Jonnu Smith,754,67,NA,332,TE,315,410.5,293.04,280,0,2017,3,100
Mitchell Trubisky,745,68,NA,333,QB,314,406.5,290.73,281,-2.3100000000000023,2017,1,2
Sterling Shepard,765,57,NA,330,WR,321,411,290.07000000000005,282,-0.6599999999999682,2016,2,40
Will Dissly,837,19,NA,318,TE,339,428,288.75000000000006,283,-1.3199999999999932,2018,4,120
Velus Jones,865,130,0,313,WR,303,331.6666666666667,281.25,284,-7.500000000000057,NA,NA,NA
Denzel Mims,821,11,NA,322,WR,344,416,278.19,285,-3.0600000000000023,2020,2,59
Sam Ehlinger,707,60,NA,339,QB,318,383.5,272.91,286,-5.279999999999973,2021,6,218
Ben Skowronek,902,47,0,304,WR,326,316.3333333333333,249,287,-23.910000000000025,2021,7,249
Demarcus Robinson,720,4,NA,337,WR,348,362,240.24,288,-8.759999999999991,2016,4,126
Dontrell Hilliard,698,6,NA,342,RB,347,352,234.3,289,-5.939999999999998,NA,NA,NA
Matt Ryan,193,258,NA,410,QB,278,225.5,233.97,290,-0.3300000000000125,NA,NA,NA
J.D. McKissic,669,19,NA,344,RB,340,344,233.31,291,-0.6599999999999966,NA,NA,NA
DeAndre Carter,645,14,NA,348,WR,343,329.5,222.09000000000003,292,-11.21999999999997,NA,NA,NA
Trey Sermon,570,51,NA,360,RB,323,310.5,221.76000000000002,293,-0.3300000000000125,2021,3,88
Kylen Granson,832,18,0,320,TE,341,283.3333333333333,217,294,-4.760000000000019,2021,4,127
Olamide Zaccheaus,847,10,0,317,WR,345,285.6666666666667,216.75,295,-0.25,NA,NA,NA
Marvin Jones,516,47,NA,371,WR,328,281.5,201.3,296,-15.449999999999989,2012,5,166
Cooper Rush,532,24,NA,367,QB,336,278,191.4,297,-9.900000000000006,NA,NA,NA
Kenyan Drake,382,97,NA,392,RB,307,239.5,190.07999999999998,298,-1.3200000000000216,2016,3,73
Logan Thomas,427,154,0,389,TE,294,193.66666666666666,183.75,299,-6.329999999999984,2014,4,120
Latavius Murray,255,203,0,400,RB,287,152.66666666666666,165.25,300,-18.5,2013,6,181
Colt McCoy,0,183,NA,451,QB,291,91.5,120.78,301,-44.47,2010,3,85
Melvin Gordon,46,88,NA,446,RB,310,67,73.26,302,-47.519999999999996,2015,1,15
Kenny Golladay,79,65,NA,438,WR,316,72,68.97,303,-4.290000000000006,2017,3,96
Julio Jones,49,25,NA,445,WR,335,37,32.67,304,-36.3,2011,1,6
